data-prix;data-idannonce;data-nb_chambres;data-nb_pieces;data-surface;data-link
430000;0;4;5 ;93;https://www.seloger.com/annonces/achat/appartement/ivry-sur-seine-94/centre-ville-est/159233555.htm
615000;0;2;3 ;63,04;https://www.seloger.com/annonces/achat/appartement/paris-12eme-75/159252491.htm
799000;0;1;3 ;73;https://www.seloger.com/annonces/achat/appartement/paris-11eme-75/nation-alexandre-dumas/159252603.htm
182000;0;2;3 ;57,5;https://www.seloger.com/annonces/achat/appartement/poissy-78/gare/159257081.htm
580000;0;2;4 ;88;https://www.seloger.com/annonces/achat/appartement/asnieres-sur-seine-92/hauts-d-asnieres-metro/159261781.htm
175000;0;3;4 ;84;https://www.seloger.com/annonces/achat/appartement/franconville-95/europe-poirier-du-roi-montedour/159261787.htm
5350000;0;6;10 ;354;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-8eme-75/hoche-friedland/140589363/#?cmp=INTSL_ListToDetail
189000;0;3;5 ;95,25;https://www.seloger.com/annonces/achat/appartement/les-ulis-91/anjou/141268629.htm
299000;0;2;3 ;82,19;https://www.seloger.com/annonces/achat/appartement/chatou-78/europe-nord/143560225.htm
4635000;0;3;5 ;179;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/neuilly-sur-seine-92/la-plaine-des-sablons/147439287/#?cmp=INTSL_ListToDetail
250800;0;1;2 ;49;https://www.seloger.com/annonces/achat/appartement/chambourcy-78/nord/147488485.htm
151900;0;2;3 ;56;https://www.seloger.com/annonces/achat/appartement/etampes-91/saint-pierre/157501059.htm
799000;0;3;4 ;106,49;https://www.seloger.com/annonces/achat/appartement/versailles-78/saint-louis/158833565.htm
525000;0;1;2 ;57;https://www.seloger.com/annonces/achat/appartement/paris-13eme-75/buttes-aux-cailles-glaciere/158877357.htm
599000;0;1;2 ;61,19;https://www.seloger.com/annonces/achat/appartement/paris-11eme-75/nation-alexandre-dumas/158918485.htm
310000;0;3;4 ;68,93;https://www.seloger.com/annonces/achat/appartement/fontenay-aux-roses-92/rer-lombart/159202767.htm
429000;0;5;7 ;128;https://www.seloger.com/annonces/achat/appartement/montmorency-95/centre-montmorency-centre/156989927.htm
929000;0;2;4 ;77;https://www.seloger.com/annonces/achat/appartement/paris-9eme-75/lafayette-richer/159266283.htm
430000;0;2;3 ;72;https://www.seloger.com/annonces/achat/appartement/rueil-malmaison-92/centre-ville/153979789.htm
447000;0;3;5 ;91,65;https://www.seloger.com/annonces/achat/appartement/saint-cyr-l-ecole-78/centre-ville/155785267.htm
194900;0;3;4 ;69;https://www.seloger.com/annonces/achat/appartement/sainte-genevieve-des-bois-91/les-aunettes/156775399.htm
242000;0;1;3 ;56,11;https://www.seloger.com/annonces/achat/appartement/massy-91/vilmorin/159246323.htm
716500;0;3;5 ;93,74;https://www.seloger.com/annonces/achat/appartement/vanves-92/louis-vicat/159010541.htm
380000;0;2;3 ;60;https://www.seloger.com/annonces/achat/appartement/clamart-92/jardin-parisien/159097267.htm
239000;0;2;3 ;59;https://www.seloger.com/annonces/achat/appartement/montmorency-95/centre-montmorency-centre/153480655.htm
314000;0;3;4 ;90;https://www.seloger.com/annonces/achat/appartement/neuilly-sur-marne-93/jules-lamant-et-ses-fils/158596285.htm
398000;0;2;3 ;32,5;https://www.seloger.com/annonces/achat/appartement/paris-17eme-75/batignolles-cardinet/155807755.htm
